"number_past_order","time_web","voucher","past_spend","ad_channel","revenue","ad_channel_label","voucher_label"
2,103,"0",28,"3",45,"SEO (Organic)","No Voucher"
0,139,"0",0,"4",70,"Online Display Ads","No Voucher"
1,128,"0",28,"1",37,"No Advertisement","No Voucher"
0,110,"0",0,"2",67,"Paid Search","No Voucher"
0,157,"0",0,"4",71,"Online Display Ads","No Voucher"
1,119,"0",18,"1",43,"No Advertisement","No Voucher"
0,137,"0",0,"2",59,"Paid Search","No Voucher"
1,39,"1",3,"4",26,"Online Display Ads","Voucher Applied"
1,104,"0",15,"1",45,"No Advertisement","No Voucher"
1,77,"0",2,"1",45,"No Advertisement","No Voucher"
2,144,"0",8,"2",69,"Paid Search","No Voucher"
1,134,"0",8,"2",60,"Paid Search","No Voucher"
0,151,"0",0,"1",68,"No Advertisement","No Voucher"
1,121,"0",12,"1",50,"No Advertisement","No Voucher"
1,109,"0",21,"4",55,"Online Display Ads","No Voucher"
3,127,"0",24,"2",61,"Paid Search","No Voucher"
2,149,"0",24,"1",64,"No Advertisement","No Voucher"
0,121,"0",0,"2",49,"Paid Search","No Voucher"
1,150,"0",10,"1",63,"No Advertisement","No Voucher"
0,109,"0",0,"1",71,"No Advertisement","No Voucher"
1,127,"0",16,"1",63,"No Advertisement","No Voucher"
1,79,"0",15,"4",31,"Online Display Ads","No Voucher"
0,81,"0",0,"4",39,"Online Display Ads","No Voucher"
1,79,"0",5,"2",54,"Paid Search","No Voucher"
0,87,"0",0,"2",37,"Paid Search","No Voucher"
0,135,"1",0,"4",82,"Online Display Ads","Voucher Applied"
1,146,"0",13,"1",58,"No Advertisement","No Voucher"
1,137,"0",5,"4",68,"Online Display Ads","No Voucher"
1,137,"0",15,"3",65,"SEO (Organic)","No Voucher"
1,137,"0",2,"1",64,"No Advertisement","No Voucher"
1,129,"0",15,"1",53,"No Advertisement","No Voucher"
0,143,"0",0,"1",68,"No Advertisement","No Voucher"
1,96,"0",4,"1",42,"No Advertisement","No Voucher"
1,125,"0",9,"3",58,"SEO (Organic)","No Voucher"
