"number_past_order","time_web","voucher","past_spend","ad_channel","revenue"
2,103,"0",28,"3",45
0,139,"0",0,"4",70
1,128,"0",28,"1",37
0,110,"0",0,"2",67
0,157,"0",0,"4",71
1,119,"0",18,"1",43
0,148,"0",10.1047995139733,"1",70
0,137,"0",0,"2",59
1,39,"1",3,"4",26
1,104,"0",15,"1",45
0.772055847834884,132,"0",0,"1",69
1,77,"0",2,"1",45
2,144,"0",8,"2",69
1,134,"0",8,"2",60
0,151,"0",0,"1",68
1,121,"0",12,"1",50
1,109,"0",21,"4",55
3,127,"0",24,"2",61
2,149,"0",24,"1",64
0,121,"0",0,"2",49
1,150,"0",10,"1",63
0,109,"0",0,"1",71
1,127,"0",16,"1",63
1,79,"0",15,"4",31
0,81,"0",0,"4",39
1,79,"0",5,"2",54
0,87,"0",0,"2",37
0,135,"1",0,"4",82
1,146,"0",13,"1",58
1,137,"0",5,"4",68
1,137,"0",15,"3",65
1,137,"0",2,"1",64
1,129,"0",15,"1",53
0,143,"0",0,"1",68
1,96,"0",4,"1",42
1,125,"0",9,"3",58
1,117,"0",8,"1",54
1,141,"0",22,"1",51
0,91,"1",0,"4",47
0.772055847834884,130,"0",33,"4",79
1,135,"0",5,"2",53
1,87,"0",19,"2",58
1,103,"0",18,"4",45
0,156,"0",0,"1",71
1,136,"0",20,"2",67
1,126,"0",9,"1",39
1,102,"0",1,"1",53
2,146,"0",20,"1",51
1,149,"0",6,"1",67
1,112,"0",29,"4",65
1,145,"1",6,"1",63
1,128,"0",8,"1",55
1,140,"1",8,"2",58
1,114,"0",15,"4",40
0,147,"0",0,"1",73
1,152,"0",9,"4",60
0,150,"0",0,"2",77
1,92,"0",10,"4",46
1,150,"0",33,"3",84
1,130,"1",3,"3",50
0,129,"1",0,"1",61
1,119,"0",1,"4",54
1,148,"1",17,"4",78
2,148,"0",40,"1",57
0,119,"1",0,"3",53
1,144,"0",18,"2",56
1,129,"0",9,"3",57
2,149,"0",40,"1",51
1,100,"0",18,"3",38
0,142,"1",0,"1",68
1,73,"0",18,"4",47
1,108,"0",14,"4",42
0,145,"0",0,"1",68
1,118,"1",2,"4",53
0,40,"0",0,"4",35
1,139,"0",36,"1",46
1,76,"0",19,"3",36
1,110,"1",3,"2",51
0,66,"0",0,"1",38
0,146,"0",0,"4",80
0,140,"0",0,"2",48
0,116,"0",0,"1",61
1,153,"0",5,"2",67
2,120,"0",14,"2",54
0,108,"0",0,"2",45
2,130,"0",8,"1",61
1,100,"0",15,"1",34
1,151,"1",26,"4",56
0,134,"0",0,"4",69
1,58,"0",19,"3",41
1,136,"0",5,"1",59
1,148,"0",3,"1",79
0,124,"0",0,"3",55
0,134,"0",0,"2",69
1,88,"0",11,"1",47
1,134,"1",4,"2",53
0,130,"0",0,"1",55
